duration,domain_age,updates,update_time,dnssec,registrar,nameservers,rank_score,page_rank,label
0.999315537303217,0.5201916495550992,1,0.5065023956194388,0,0,2,-1.0,-1,1
2.001368925393566,1.9164955509924708,1,0.917180013689254,0,0,2,-1.0,-1,1
-1.0,13.221081451060916,-1,-1.0,-1,0,1,2.6,8070801,0
22.001368925393567,21.639972621492127,1,0.13963039014373715,0,0,2,2.66,7421742,1
9.998631074606434,9.117043121149898,1,0.1834360027378508,0,0,2,4.43,222786,1
-1.0,-1.0,-1,-1.0,-1,0,0,4.16,681814,0
-1.0,-1.0,1,6.108145106091718,-1,0,4,4.29,298372,0
12.999315537303216,12.53388090349076,1,0.4106776180698152,0,0,2,1.79,40043411,0
29.00205338809035,28.93908281998631,1,0.944558521560575,0,0,4,4.14,699926,0
0.999315537303217,0.2080766598220397,1,0.188911704312115,-1,0,2,-1.0,-1,1
5.9986310746064335,4.361396303901437,1,2.302532511978097,-1,0,4,4.26,322803,1
11.000684462696784,10.209445585215606,2,0.2053388090349076,1,0,3,4.2,425228,0
-1.0,-1.0,1,0.4134154688569473,-1,0,4,5.28,6039,1
7.000684462696783,5.6125941136208075,2,0.6132785763175906,0,4,4,3.82,1388819,1
19.000684462696782,17.240246406570844,1,0.840520191649555,0,1,2,4.63,53017,0
12.996577686516085,12.320328542094456,2,0.31759069130732376,0,0,4,1.36,61177159,1
24.0,22.666666666666668,1,2.349075975359343,0,0,2,2.14,19549725,0
-1.0,-1.0,-1,-1.0,-1,0,0,4.22,378037,1
21.998631074606433,20.254620123203285,1,3.6249144421629023,0,0,2,3.08,3768903,0
30.99520876112252,27.581108829568787,2,0.7008898015058179,0,4,4,10.0,4,1
0.999315537303217,0.09856262833675565,2,0.08761122518822724,0,0,2,4.13,715745,0
30.99520876112252,27.581108829568787,2,0.7008898015058179,0,4,4,10.0,4,1
26.001368925393567,25.741273100616016,1,0.7364818617385352,0,1,2,2.29,14689756,0
8.999315537303216,6.327173169062286,1,0.3613963039014374,0,1,2,0.94,83093352,0
-1.0,-1.0,-1,-1.0,-1,0,0,0.66,103704396,0
7.000684462696783,6.7268993839835725,2,3.7727583846680357,-1,0,2,1.97,28522433,0
21.998631074606433,21.013004791238878,1,0.10677618069815195,-1,0,4,4.49,144504,0
23.99726214921287,22.973305954825463,1,0.9582477754962354,-1,1,2,4.12,722411,0
14.001368925393566,13.54962354551677,1,0.648870636550308,0,0,2,1.8,38484626,0
0.999315537303217,0.23545516769336072,1,0.2135523613963039,0,0,2,-1.0,-1,1
11.000684462696784,10.179329226557153,1,0.2327173169062286,0,0,2,2.98,4391770,0
29.9958932238193,29.79876796714579,2,1.88911704312115,0,4,4,7.31,104,1
24.032854209445585,23.583846680355922,1,0.6461327857631759,0,0,4,1.89,32923780,0
-1.0,-1.0,1,4.936344969199179,-1,0,3,4.37,259699,0
12.999315537303216,12.262833675564682,1,0.28199863107460643,0,0,5,4.09,853561,0
-1.0,-1.0,-1,-1.0,-1,0,0,2.53,9236644,1
13.998631074606434,12.068446269678303,1,0.06570841889117043,0,1,2,3.48,1862322,0
29.998631074606433,28.550308008213552,1,0.6324435318275154,-1,0,4,4.46,205614,0
0.999315537303217,0.22176591375770022,1,0.2026009582477755,0,0,2,-1.0,-1,1
30.99794661190965,29.82067077344285,1,3.9863107460643397,0,0,3,5.17,8078,0
15.000684462696784,13.52498288843258,1,3.5236139630390144,-1,0,2,3.4,2119306,0
24.999315537303218,24.490075290896645,1,0.49007529089664614,-1,0,2,2.46,10472298,0
29.00205338809035,25.519507186858316,1,0.8158795345653662,0,1,2,4.44,214932,0
-1.0,-1.0,-1,-1.0,-1,0,0,3.22,3094390,0
-1.0,-1.0,-1,-1.0,-1,0,0,1.25,65941690,1
31.26899383983573,29.976728268309376,-1,-1.0,-1,0,0,2.6,8131931,0
12.0,11.069130732375086,1,1.0650239561943875,0,1,2,4.13,714470,0
20.999315537303218,20.38877481177276,1,0.3860369609856263,0,1,2,3.23,3058637,0
-1.0,-1.0,-1,-1.0,-1,-1,-1,2.02,25978243,0
18.001368925393567,17.22108145106092,2,0.2190280629705681,0,0,5,4.28,304494,0
10.001368925393566,9.598904859685147,1,0.6461327857631759,0,0,2,4.18,520222,0
0.999315537303217,0.4517453798767967,2,0.36413415468856947,0,0,2,4.09,906873,0
29.9958932238193,29.79876796714579,2,1.88911704312115,0,4,4,7.31,104,1
0.999315537303217,0.2245037645448323,1,0.2108145106091718,0,0,2,-1.0,-1,1
14.001368925393566,13.210130047912388,1,0.29021218343600275,0,0,3,1.73,42654579,0
0.999315537303217,0.23819301848049282,1,0.2135523613963039,0,0,2,-1.0,-1,1
20.999315537303218,20.752908966461327,1,0.2929500342231348,0,0,2,4.1,773764,0
24.999315537303218,23.496235455167692,1,0.8186173853524983,0,1,2,4.09,808707,0
26.99794661190965,26.365503080082135,1,0.4490075290896646,0,0,2,2.96,4491163,0
